"Id1","Id2","McdFullName1","McdFullName2","Lv3Name1","Lv3Name2","PolyId1","PolyId2","Cou1Name1","Cou1Name2","Length"
"0677782400","0678056800","Turbett township","Walker township","","",1,1,"Juniata","Juniata",7545.5325192797
"0091503200","0091766400","Colerain township","Cumberland Valley township","","",1,1,"Bedford","Bedford",7545.24002527333
"0810307200","0818128800","Armstrong township","Washington township","","",1,1,"Lycoming","Lycoming",7544.95908176579
"0252736800","0257716000","Franklin township","Towamensing township","","",1,1,"Carbon","Carbon",7541.72502470252
"0712384000","0718116800","Ephrata township","Warwick township","","",3,1,"Lancaster","Lancaster",7534.6335012474
"0191581600","0194120800","Connoquenessing township","Lancaster township","","",1,1,"Butler","Butler",7534.61921220783
"1212745600","1216782400","Franklin city","Sandycreek township","","",1,1,"Venango","Venango",7533.7639752833
"0210427200","0211088000","Barr township","Cambria township","","",1,1,"Cambria","Cambria",7532.74463940991
"0294504000","0711505600","Lower Oxford township","Colerain township","","",1,1,"Chester","Lancaster",7531.03338806585
"0712300800","0718116800","Elizabeth township","Warwick township","","",1,1,"Lancaster","Lancaster",7530.38515534742
"1333748800","1335490400","Jackson township","North Codorus township","","",1,1,"York","York",7528.01719968711
"0414498400","0993744000","Lower Mifflin township","Jackson township","","",1,1,"Cumberland","Perry",7527.65393560381
"1091267200","1095950400","Chapman township","Perry township","","",1,1,"Snyder","Snyder",7527.27529064087
"1056020000","1058256800","Pike township","West Branch township","","",1,1,"Potter","Potter",7525.02848755909
"0130218400","0134432800","Altoona city","Logan township","","",1,2,"Blair","Blair",7520.82544018042
